Method;Text size;Alphabet size;Pattern size;Wildcards;Time
Native;10000;2;100;0;263814
KMP;10000;2;100;0;218006
KMP_O;10000;2;100;0;267668
Native;10000;2;100;1;281931
KMP;10000;2;100;1;261048
KMP_O;10000;2;100;1;282095
Native;10000;2;100;2;293108
KMP;10000;2;100;2;223928
KMP_O;10000;2;100;2;261203
Native;10000;2;100;3;262614
KMP;10000;2;100;3;214872
KMP_O;10000;2;100;3;248969
Native;10000;2;100;4;348699
KMP;10000;2;100;4;285367
KMP_O;10000;2;100;4;237573
Native;10000;4;100;0;259444
KMP;10000;4;100;0;203560
KMP_O;10000;4;100;0;224841
Native;10000;4;100;1;265794
KMP;10000;4;100;1;217575
KMP_O;10000;4;100;1;216609
Native;10000;4;100;2;258057
KMP;10000;4;100;2;203654
KMP_O;10000;4;100;2;216843
Native;10000;4;100;3;258823
KMP;10000;4;100;3;203306
KMP_O;10000;4;100;3;286899
Native;10000;4;100;4;259661
KMP;10000;4;100;4;209744
KMP_O;10000;4;100;4;224365
Native;100000;2;100;0;2634769
KMP;100000;2;100;0;2010356
KMP_O;100000;2;100;0;2111476
Native;100000;2;100;1;2616561
KMP;100000;2;100;1;2015694
KMP_O;100000;2;100;1;2161418
Native;100000;2;100;2;2632268
KMP;100000;2;100;2;2002597
KMP_O;100000;2;100;2;2207906
Native;100000;2;100;3;2734333
KMP;100000;2;100;3;2008667
KMP_O;100000;2;100;3;2230654
Native;100000;2;100;4;2657426
KMP;100000;2;100;4;2081393
KMP_O;100000;2;100;4;2591473
Native;100000;4;100;0;2616603
KMP;100000;4;100;0;2052659
KMP_O;100000;4;100;0;2325166
Native;100000;4;100;1;2647884
KMP;100000;4;100;1;1984114
KMP_O;100000;4;100;1;2810474
Native;100000;4;100;2;2650945
KMP;100000;4;100;2;2012626
KMP_O;100000;4;100;2;2135715
Native;100000;4;100;3;2620407
KMP;100000;4;100;3;2059328
KMP_O;100000;4;100;3;2192134
Native;100000;4;100;4;2796267
KMP;100000;4;100;4;2343043
KMP_O;100000;4;100;4;2782588
Native;10000;2;200;0;256431
KMP;10000;2;200;0;206698
KMP_O;10000;2;200;0;239434
Native;10000;2;200;1;257980
KMP;10000;2;200;1;207009
KMP_O;10000;2;200;1;240154
Native;10000;2;200;2;268334
KMP;10000;2;200;2;210403
KMP_O;10000;2;200;2;240216
Native;10000;2;200;3;259015
KMP;10000;2;200;3;207308
KMP_O;10000;2;200;3;239563
Native;10000;2;200;4;254546
KMP;10000;2;200;4;206877
KMP_O;10000;2;200;4;234346
Native;10000;4;200;0;258311
KMP;10000;4;200;0;210112
KMP_O;10000;4;200;0;230766
Native;10000;4;200;1;254929
KMP;10000;4;200;1;210612
KMP_O;10000;4;200;1;259759
Native;10000;4;200;2;255485
KMP;10000;4;200;2;235590
KMP_O;10000;4;200;2;303311
Native;10000;4;200;3;260277
KMP;10000;4;200;3;212724
KMP_O;10000;4;200;3;260085
Native;10000;4;200;4;255107
KMP;10000;4;200;4;211478
KMP_O;10000;4;200;4;262193
Native;100000;2;200;0;2618677
KMP;100000;2;200;0;2019430
KMP_O;100000;2;200;0;2225921
Native;100000;2;200;1;2623493
KMP;100000;2;200;1;2012259
KMP_O;100000;2;200;1;2170040
Native;100000;2;200;2;2663917
KMP;100000;2;200;2;2074199
KMP_O;100000;2;200;2;2253507
Native;100000;2;200;3;2664410
KMP;100000;2;200;3;2068665
KMP_O;100000;2;200;3;2247690
Native;100000;2;200;4;2606915
KMP;100000;2;200;4;2070346
KMP_O;100000;2;200;4;2222368
Native;100000;4;200;0;2717151
KMP;100000;4;200;0;2067461
KMP_O;100000;4;200;0;2307804
Native;100000;4;200;1;2636406
KMP;100000;4;200;1;2067188
KMP_O;100000;4;200;1;2327655
Native;100000;4;200;2;2646315
KMP;100000;4;200;2;2046508
KMP_O;100000;4;200;2;2665083
Native;100000;4;200;3;2619809
KMP;100000;4;200;3;2000048
KMP_O;100000;4;200;3;2109643
Native;100000;4;200;4;2651814
KMP;100000;4;200;4;2073361
KMP_O;100000;4;200;4;2194492
Native;10000;2;300;0;256636
KMP;10000;2;300;0;206438
KMP_O;10000;2;300;0;227622
Native;10000;2;300;1;256676
KMP;10000;2;300;1;206753
KMP_O;10000;2;300;1;227387
Native;10000;2;300;2;256839
KMP;10000;2;300;2;206921
KMP_O;10000;2;300;2;252594
Native;10000;2;300;3;255985
KMP;10000;2;300;3;206139
KMP_O;10000;2;300;3;226899
Native;10000;2;300;4;255816
KMP;10000;2;300;4;206200
KMP_O;10000;2;300;4;226526
Native;10000;4;300;0;258023
KMP;10000;4;300;0;208841
KMP_O;10000;4;300;0;224740
Native;10000;4;300;1;258810
KMP;10000;4;300;1;205867
KMP_O;10000;4;300;1;223508
Native;10000;4;300;2;257826
KMP;10000;4;300;2;205467
KMP_O;10000;4;300;2;223977
Native;10000;4;300;3;257171
KMP;10000;4;300;3;205885
KMP_O;10000;4;300;3;223929
Native;10000;4;300;4;258850
KMP;10000;4;300;4;206141
KMP_O;10000;4;300;4;223948
Native;100000;2;300;0;2631625
KMP;100000;2;300;0;2040955
KMP_O;100000;2;300;0;2245189
Native;100000;2;300;1;2635611
KMP;100000;2;300;1;2055685
KMP_O;100000;2;300;1;2266542
Native;100000;2;300;2;2585180
KMP;100000;2;300;2;2069773
KMP_O;100000;2;300;2;2299420
Native;100000;2;300;3;2700171
KMP;100000;2;300;3;1999783
KMP_O;100000;2;300;3;2190224
Native;100000;2;300;4;2617541
KMP;100000;2;300;4;2057238
KMP_O;100000;2;300;4;2317642
Native;100000;4;300;0;2601221
KMP;100000;4;300;0;2201744
KMP_O;100000;4;300;0;2144606
Native;100000;4;300;1;2645055
KMP;100000;4;300;1;2024207
KMP_O;100000;4;300;1;2861850
Native;100000;4;300;2;2640636
KMP;100000;4;300;2;2025902
KMP_O;100000;4;300;2;2586075
Native;100000;4;300;3;2609014
KMP;100000;4;300;3;2085962
KMP_O;100000;4;300;3;2276941
Native;100000;4;300;4;3107467
KMP;100000;4;300;4;2366401
KMP_O;100000;4;300;4;2367073
Native;10000;2;400;0;254319
KMP;10000;2;400;0;212527
KMP_O;10000;2;400;0;246668
Native;10000;2;400;1;254659
KMP;10000;2;400;1;213465
KMP_O;10000;2;400;1;248272
Native;10000;2;400;2;256203
KMP;10000;2;400;2;213241
KMP_O;10000;2;400;2;246482
Native;10000;2;400;3;253776
KMP;10000;2;400;3;212976
KMP_O;10000;2;400;3;245464
Native;10000;2;400;4;254241
KMP;10000;2;400;4;212381
KMP_O;10000;2;400;4;245895
Native;10000;4;400;0;254351
KMP;10000;4;400;0;212860
KMP_O;10000;4;400;0;225063
